"","type","year","author","doc_title","pub_title","DOI","abstract"
"93","conferencePaper",2015,"Bershadskaya, Lyudmila; Chugunov, Andrei; Trutnev, Dmitrii; Abdrakhmanova, Gulnara","A Framework for Evaluating Online Services and E-Participation Tools: UN Methodology Application to Russian Regions",NA,"10.3233/978-1-61499-570-8-253","The article discusses the experience of UN international methodology for assessing e-government development at federal and regional levels in Russia. United Nations procedure for e-government development measuring is widely used in the world and allows comparison of 191 countries. Focusing on international standards, the authors conducted survey of federal and regional executive authorities' web-sites. The article describes methodological approaches to web monitoring in accordance with UN methodology, web-monitoring results and recommendations to international methods' application in assessment of regional specificity of e-government and e-participation in Russia. The paper touches the limitations of international rankings and provides supply-side assessment of e-government implementation."
"94","conferencePaper",2015,"Bert, Jennifer; Shin, Yoon Ah; Chalfont, Brian","Technology, Governance, and the Escalation of Ebola: Wicked Problems in Real Time",NA,"10.1145/2757401.2757434","Digital technologies have been perceived as a means of facilitating governance in addressing complex, dynamic policy problems. Yet, technology alone cannot resolve interdependencies among divergent organizations operating at different levels of authority, access to resources, and experience in heterogeneous contexts. We report preliminary findings from an ongoing study of the recent Ebola outbreak in West Africa that revealed breakdowns in governance due in part to limited use of digital technologies to support systematic monitoring of the spread of the disease, search for, and exchange of, valid information and knowledge essential to manage a rapidly evolving, complex threat. We apply a systems theory approach to this wicked problem as a framework for examining the interactions between key actors involved in the response to this epidemic. Preliminary findings are drawn from a content analysis of news articles posted on the United Nations Relief Web and include a chronological record of the Ebola outbreak in West Africa from March through December 2014. A planned network analysis will measure the centrality of actors, as well as the strength and direction of ties among the participating actors: local, provincial, national, regional, and international. We anticipate developing a model of sociotechnical design for addressing complex policy problems"
"95","conferencePaper",2010,"Bertot, John Carlo","Community-based e-Government: libraries as e-Government partners and providers",NA,"10.1007/978-3-642-14799-9_11","In the United States, e-government is a complex mix of federal, state, and local governments; technologies; service paradigms; and policies. There is no single approach to e-government, with a range of e-government applications and set of e-government technologies in effect. Agencies and levels of government have different mandates and approaches regarding e-government, leaving users on their own to identify and resolve their e-government needs. Without a bridge between previously mediated interactions, users often make their way to libraries and rely on librarian expertise to fulfill their e-government needs. This paper explores the ability of libraries and government agencies to collaborate effectively in the provision of e-government to residents and communities in this country, presenting findings from a national survey of U.S. public libraries, and interviews and case sites conducted with 15 public libraries in four states."
"96","conferencePaper",2016,"Bertot, John Carlo","Building Digitally Inclusive Communities: The Roles of Public Libraries in Digital Inclusion and Development",NA,"10.1145/2910019.2910082","Concern over rising inequality in society and the challenges of creating sustainable communities through access to opportunity, underlie the recent United Nations 2030 Sustainability Goals. In addition, demographic changes, population growth, population mobility, and other community factors create further pressures to ensure an inclusive society that provides access and opportunity for all. This paper presents the results of a national survey of public libraries in the United States as a community-based agency for building digitally inclusive communities. The paper finds that U.S. public libraries provide essential services such as free access to Information and Communication Technologies (ICTs), broadband, digital literacy skills, and facilitate access to economic, learning, health, and civic engagement opportunities -- all key aspects of Digital Inclusion (DI). The paper also finds that there is a relationship between the physical space and the ability of libraries to provide digital services. Finally, the paper outlines the need for additional research, particularly in the area of the impact of library DI services on the UN Sustainability Goals (e.g., poverty, equity, and inclusion)."
"97","conferencePaper",2014,"Bertot, John Carlo; Butler, Brian S.; Travis, Diane M.","Local Big Data: The Role of Libraries in Building Community Data Infrastructures",NA,"10.1145/2612733.2612762","Communities face opportunities and challenges in many areas, including education, health and wellness, workforce and economic development, housing, and the environment [21]. At the same time, governments have significant fiscal constraints on their ability to address these challenges and opportunities. Through a combination of open government, open data, and civic engagement, however, governments, citizens, civil society groups, and others are reinventing the relationship between governments and the governed by developing crowdsourced and other innovative solutions for community advancement. Underlying this reinvention and innovation is data -- particularly local data about housing, air quality, graduation rates, literacy rates, poverty, disease, and more. And yet, not all communities have the capacity to create, work with, or leverage data at the local level. Using a case study approach in a medium-sized U.S. city, this paper focuses on the issues that smaller communities face when seeking to create local data infrastructures and the extent to which libraries can develop their capabilities, capacity, and abilities to work with community information and data to facilitate community engagement and high-impact, locally relevant analytics."
"98","conferencePaper",2013,"Bertot, John Carlo; Choi, Heeyoon","Big data and e-government: Issues, policies, and recommendations",NA,"10.1145/2479724.2479730","The promises and potential of Big Data in transforming digital government services, governments, and the interaction between governments, citizens, and the business sector, are substantial. From ""smart"" government to transformational government, Big Data can foster collaboration; create real-time solutions to challenges in agriculture, health, transportation, and more; and usher in a new era of policy- and decision-making. There are, however, a range of policy challenges to address regarding Big Data, including access and dissemination; digital asset management, archiving and preservation; privacy; and security. This paper selectively reviews and analyzes the U.S. policy context regarding Big Data and offers recommendations aimed at facilitating Big Data initiatives."
"99","conferencePaper",2016,"Bertot, John Carlo; Estevez, Elsa; Janowski, Tomasz","Digital Public Service Innovation: Framework Proposal",NA,"10.1145/2910019.2910108","This paper proposes the Digital Public Service Innovation Framework that extends the ""standard"" provision of digital public services according to the emerging, enhanced, transactional and connected stages underpinning the United Nations Global e-Government Survey, with seven example ""innovations"" in digital public service delivery -- transparent, participatory, anticipatory, personalized, co-created, context-aware and context-smart. Unlike the ""standard"" provisions, innovations in digital public service delivery are open-ended -- new forms may continuously emerge in response to new policy demands and technological progress, and are non-linear -- one innovation may or may not depend on others. The framework builds on the foundations of public sector innovation and Digital Government Evolution model. In line with the latter, the paper equips each innovation with sharp logical characterization, body of research literature and real-life cases from around the world to simultaneously serve the illustration and validation goals. The paper also identifies some policy implications of the framework, covering a broad range of issues from infrastructure, capacity, eco-system and partnerships, to inclusion, value, channels, security, privacy and authentication."
"100","conferencePaper",2012,"Bertot, John Carlo; Jaeger, Paul T.; Gorham, Ursula; Greene, Natalie N.; Lincoln, Ruth","Delivering e-government services through innovative partnerships: public libraries, government agencies, and community organizations",NA,"10.1145/2307729.2307750","Due to an increasing reliance on public libraries to deliver government services online, coupled with decreasing funding for public services, many public libraries have begun to collaborate with local government agencies and community organizations to provide vital services to their communities. Drawing upon findings made through an extensive literature review, site visits at a number of public libraries across the country, and interviews with state library staff, government officials, and community organization leaders, this paper highlights the e-government service roles of public libraries, the innovative partnerships between community groups, government agencies, and public libraries in the realm of e-government, and the impacts of these services and partnerships on communities."
"101","conferencePaper",2018,"Bharosa, Nitesh; Hietbrink, Frans; Mosterd, Lars; van Oosterhout, Ralf","Steering the Adoption of Standard Business Reporting for Cross Domain Information Exchange",NA,"10.1145/3209281.3209325","Over the years, several governments around the world have introduced a version of Standard Business Reporting (SBR) for information exchange with public agencies. Their main goals are to ease the reporting burden for businesses and the regulatory burden for government agencies. This paper takes a look at the adoption numbers in the Netherlands over multiple years. The objective of this paper is to analyse the adoption rates and explain them by revealing the steering instruments employed by government agencies looking to positive-ly influence SBR adoption. Our dataset consists of the total number of reports submitted using SBR towards the Tax Office, Chamber of Commerce and Industry, and the Education Executive Agency. Quantitative data analysis reveals different adoption rates and patterns in the aforementioned reporting chains. We found that adoption was positively influenced using a deliberate and fine-tuned set of steering instruments, including public-private governance, open communication and knowledge exchange, mandation, software community engagement and technical configuration (use of interfaces that match the sector specific reporting capabilities). When considering these steering instruments, policy makers and practitioners need to balance progressive standard setting and steady implementation."
"102","conferencePaper",2013,"Bharosa, Nitesh; Janssen, Marijn; Klievink, Bram; Tan, Yao-hua","Developing Multi-sided Platforms for Public-Private Information Sharing: Design Observations from Two Case Studies",NA,"10.1145/2479724.2479747","Multi-sided platforms (MSPs) represent an active area in economics and electronic markets, but are given scant attention in digital government research. While the body of knowledge on commercial MSPs is steadily growing, little empirical substantiation exists about the series of design choices that stakeholders conduct in order to realize information infrastructures in a public-private setting. This paper investigates the barriers and decisions that influence the public-private design of MSPs. Two public-private initiatives are investigated: (1) standard business reporting and (2) an international logistic information platform. The barriers and decisions in the current portrayal of both cases are analysed on two aspects: (1) the platform governance and (2) the information infrastructure. Research data is collected through knowledge retention projects in which researchers and practitioners reflect on design choices. We found that rather than developing an information infrastructure and demanding that businesses use it, government agencies detach from the classical approach and actively tempt businesses to partner in achieving long-term goals. A cross-case comparison shows that in the public-private setting government agencies need to employ a careful mix of instruments (i.e., business incentives, legislation and standard development) in order to realise successful information infrastructures. Both government agencies and businesses are still learning in terms of employing MSPs for realising change."
"103","conferencePaper",2009,"Bharosa, Nitesh; Zanten, Bart van; Janssen, Marijn; Groenleer, Martijn","Transforming Crisis Management: Field Studies on the Efforts to Migrate from System-Centric to Network-Centric Operations",NA,"10.1007/978-3-642-03516-6","Governments are searching for ways to improve information sharing between autonomous agencies. During crises, information demand and supply are often unbalanced, leading to situations in which relief workers are faced with incorrect, outdated or incomplete information. To address such challenges, network-centric operations (NCO), which involves information sharing with the socio-technical network as the central enabling mechanism, has been proposed. Yet, NCO is ill-understood and it is unclear whether the promised benefits can be realized in practice. In this paper we address the gap between the concept and reality of NCO. The necessary capabilities for NCO are identified using literature research and potential benefits are analyzed using field research. We found that NCO is not a silver bullet for overcoming the inherent problems of crisis management and could even reinforce existing problems. Our findings suggest that NCO is difficult to implement and needs to be complemented with capability development in the information and cognitive domain."
"104","conferencePaper",2006,"Bicking, Melanie; Janssen, Marijn; Wimmer, Maria A.","Looking into the future: Scenarios for e-government in 2020",NA,"10.1007/978-0-387-39229-5_32","Scenario building is a technique to stimulate different perspectives and images on the future. This technique allows to better predict the evolution of a certain domain beyond short-term forecasting based on the scenarios developed. The EC co-funded project eGovRTD2020 aims to develop scenarios of e-govemment in 2020 and beyond. The vision is to transform the EC government landscape into a coherent community, which anticipates customer needs and leverages the potential of the diversity and innovativeness of public agencies. In this paper, we give an overview of the scenario building methodology and develop a first set of scenarios using trend analysis. Four scenarios are derived showing different futures on e-government in 2020. The scenarios contain different aspects of integration, decentralization and centralization of power and governmental departments, democratizing systems and the role of individualisms and collectivism in society. The scenarios were used as a starting point for a series of regional scenario building workshops carried out across Europe. In a next stage, the scenarios will feed into a roadmapping exercise for e-government research."
"105","conferencePaper",2011,"Bicking, Melanie; Wimmer, Maria A.","Concept to Integrate Open Collaboration in Technology Roadmapping: Stakeholder Involvement in Strategic E-Government Planning",NA,"10.1109/HICSS.2011.124","Good Governance is an important objective for improving responsible management of public resources. Also the formulation of policies for e-government research requires complying with Good Governance. To ensure that the principles of Good Governance are met in strategic planning of e-government research, stakeholder involvement in the formulation and scoping of future research fields is crucial. Stakeholder involvement and participation encompass political, social and societal engagement. In this paper, we first examine in how far stakeholders can be and are already involved in policy-oriented science and technology roadmapping. We then propose a concept for open collaboration to facilitate online stakeholder engagement in strategic planning of e-government research."
"106","conferencePaper",2018,"Bihl, Trevor; Steeneck, Daniel","Multivariate Stochastic Approximation to Tune Neural Network Hyperparameters for Criticial Infrastructure Communication Device Identification",NA,"10.24251/HICSS.2018.279","The e-government includes Wireless Personal Area Network (WPAN) enabled internet-to-government pathways. Of interest herein is Z-Wave, an insecure, low-power/cost WPAN technology increasingly used in critical infrastructure. Radio Frequency (RF) Fingerprinting can augment WPAN security by a biometric-like process that computes statistical features from signal responses to 1) develop an authorized device library, 2) develop classifier models and 3) vet claimed identities. For classification, the neural network-based Generalized Relevance Learning Vector Quantization-Improved (GRLVQI) classifier is employed. GRLVQI has shown high fidelity in classifying Z-Wave RF Fingerprints; however, GRLVQI has multiple hyperparameters. Prior work optimized GRLVQI via a full factorial experimental design. Herein, optimizing GRLVQI via stochastic approximation, which operates by iterative searching for optimality, is of interest to provide an unconstrained optimization approach to avoid limitations found in full factorial experimental designs. The results provide an improvement in GRLVQI operation and accuracy. The methodology is further generalizable to other problems and algorithms."
"107","conferencePaper",2016,"Binsaif, Nasser; Adam, Frederic; Grace, Audrey","Towards Successful E-Government Initiatives: Exploring the Adaptation Strategies of Public Sector Middle Managers",NA,"10.3233/978-1-61499-670-5-163","Over the last two decades, research on adoption and technology acceptance of new information systems by users has provided very valuable insights. Most of this research has focused on the impact on citizens in a bid to measure the improvements in the quality and speed of the services provided. However, there is still a lack of understanding of internal users' reactions to new information systems, and in particular to new e-government systems. In light of this deficit, this research study draws on the Coping Model of User Adaption (CMUA) to examine the adaptation strategies of middle managers in public bodies when new e-government initiatives are implemented in their work place. We report on the preliminary findings of an initial qualitative case study of one such initiative. We believe that studying internal users' adaptation strategies is beneficial because these strategies influence the extent to which benefits arise from new electronic services provided by governments."
"108","conferencePaper",2010,"Böhm, Kathleen; Wolf, Petra; Krcmar, Helmut","Context oriented structuring of eGovernment Services - An empirical analysis of the information demand of expatriates in Germany",NA,"10.1109/HICSS.2010.120","In order to provide citizen centric eGovernment information and services on public websites there exist different structuring approaches. However websites of public authorities are still developed from an administrational point of view rather than considering the needs of their users. This article focuses on the exploration of information demand in the field of citizen-to-government contacts for the particular situation of being an expatriate in Germany. Based on information behavior research information needs of expatriates are analyzed according to the context in which they emerge. Thus a survey was conducted among 319 expatriates in Germany. The results of the statistical analysis indicate different demand topics and coherencies between demand and context variables as well as personal characteristics. Based on these findings we assert a new needs-driven structuring approach for information and services on public websites according to demand profiles."
"109","conferencePaper",2018,"Bolgov, Radomir; Filatova, Olga; Golubev, Vadim","E-Government in the Eurasian Economic Union: A Comparative Study of Member States",NA,"10.1145/3209415.3209435","This paper presents selected results of a comparative e-government study of the Eurasian Economic Union (EEU) member states. The study analyses each country's key ministry websites and open government data sources. The research uses a version of the UN e-Government Index approach augmented by a detailed content analysis of e-government-related online sources and the media. Recommendations are made for further improvements in e-government in the EEU."
"110","conferencePaper",2003,"Bolici, Francesco; Cantoni, Franca; Sorrentino, Maddalena; Virili, Francesco","Cooperating Strategies in e-Government",NA,"10.1007/10929179_56","Public administration (PA) has significantly shifted its interests to reach the innovative Information and Communication Technologies (ICTs), as a result of e-Government projects. The new challenge for public administrations is based on the exploitation of their knowledge resources in order to improve their processes and to offer better services to the users. The aim of this contribution is to investigate the spreading of cooperating strategies in public administrations in order to better understand why and how these organizational behaviors could assure advantages for PA and citizens."
"111","conferencePaper",2011,"Bothos, Efthimios; Apostolou, Dimitris; Mentzas, Gregoris","Citizen engagement with information aggregation markets",NA,"10.1007/978-3-642-23333-3_24","Participatory governance entails converting citizens from passive users of administrative decisions into active participants of political procedures. Public institutions and organizations can benefit from methods and tools able to aggregate and interpret information dispersed among citizens. In this paper we explore the use of Information Aggregation Markets (IAMs) for citizen engagement. We identify the benefits of IAMs and explain how markets can be used to aggregate citizens’ opinions and views on policy issues. Furthermore we report on two real life cases where we deployed IAMs to assist the decision making processes of public organizations. The positive feedback from participants and decision makers provides empirical evidence on the benefits of IAMs as a method for engaging citizens in public policy decision making."
"112","conferencePaper",2016,"Boudjelida, Abdelhamid; Mellouli, Sehl; Lee, Jungwoo","Electronic Citizens Participation: Systematic Review",NA,"10.1145/2910019.2910097","Citizen participation is considered as one of the core elements of transparency of Governments with regard to their citizens. In these participations, Governments generally ask people to give their opinions with regard to particular subjects. Governments then consider these opinions in their decision-making process. With the emergence of new ICTs that are widely spread and used by citizens, Government made a shift from face-to-face citizens' participation to an electronic citizens' participation or the so-called e-participation. In this context, governments need to identify the best means to achieve electronic participation in a way and a time that gives the citizens the opportunity to have a real influence on the decisions to be made. However, the literature shows that there is no consensus about these means. This paper is an attempt to examine, through an extensive literature review, the current state of the art about e-Participation. Results show that social welfare is the dominant domain in which e-Participation was conducted. They show also that social media technologies are the most used to conduct e-Participation initiatives."
"113","conferencePaper",2007,"Boyd, Ovid Pacific","What Are the Future Possibilities of eDemocracy? A Discussion Paper",NA,"10.1007/978-3-540-74444-3","This paper presents some future possibilities for eDemocracy tools and considers how these new technologies might conflict with our basic assumptions about what democracy should be. I hope this paper will contribute to discussion of under what situations different forms of eDemocracy are appropriate. The possibilities and repercussions of user profiling, voting outside of polling booths, longer decision-making periods, changeable election results and weighted voted are considered. Although none are necessarily advisable, this paper suggests they might be interesting to consider."
"114","conferencePaper",2015,"Brajawidagda, Uuf; Chatfield, Akemi Takeoka; Reddick, Christopher G.","The Imperative of Government Transparency in Crisis Communication: The Case of AirAsia QZ8501 Crash",NA,"10.1145/2757401.2757423","This paper examines the role of government transparency in crisis communication in influencing national and/or international public opinions during an enfolding aviation disaster. Using case study research on the 2014 AirAsia QZ8501 crash, we addressed the research question: How does government transparency in crisis communication influence national public opinions? We examined 1,896 newspaper articles from December 28, 2014 to January 14, 2015. Of these articles, we specifically conducted content analysis on 328 articles published during December 28--30, 2014 that cited government organization as their information source. From our content analysis several key themes surfaced to shed some light on the role of government transparency in crisis communication. Based on evidence, we proposed a model of government transparency in crisis communication as influenced by government leadership and search and rescue process openness; information quality, search and rescue structure and information and communication technologies use may also moderate the model's key relationships."
"115","conferencePaper",2015,"Brito, Kellyton dos Santos; Costa, Marcos Antônio da Silva; Garcia, Vinicius Cardoso; Meira, Silvio Romero de Lemos","Assessing the Benefits of Open Government Data: The Case of Meu Congresso Nacional in Brazilian Elections 2014",NA,"10.1145/2757401.2757422","Open Government Data (OGD) and transparency has been recognized as having the potential to provide many benefits for the society at all, including governmental, scientific, commercial and political domains. However, much of the existing research discusses benefits on a high-level basis, and more empirical analysis is needed in order to analyze and assess the real impact of these initiatives. The objective of this paper is to analyze the benefits perceived by the general population of the use of applications based on OGD, especially the Meu Congresso Nacional, a website based on political OGD and broadly used by Brazilian citizens in the Brazilian elections in 2014. The analysis was based on a survey conducted with website visitors and concludes that, despite this kind of application not yet being popular, people consider them more useful than official government websites, able to help reduce corruption and even influence voting decisions."
"116","conferencePaper",2014,"Brito, Kellyton dos Santos; Neto, Misael dos Santos; Costa, Marcos Antônio da Silva; Garcia, Vinicius Cardoso; Meira, Silvio Romero de Lemos","Using Parliamentary Brazilian Open Data to Improve Transparency and Public Participation in Brazil",NA,"10.1145/2612733.2612769",NA
"117","conferencePaper",2018,"Brolcháin, Niall Ó; Ojo, Adegboyega; Porwol, Lukasz; Minton, David; Barry, Clodagh","Examining the feasibility of a Smart Region approach in the North West Atlantic and Borders Region of Ireland",NA,"10.1145/3209415.3209512","Research and innovation of the smart city concept is logically evolving and extending into the conceptualisation of smart regions. Within the European Union the political priorities and principles are aligning to encourage the development of smart regions. Current plans for jobs, growth and investment, the digital single market, energy union and democratic change align with the long-standing principle of subsidiarity, the circular economy approach [2] and with smart specialisation strategy [3]. This paper examines the ongoing process of engagement and active participation of stakeholders using the quadruple helix model [5] in the conceptualisation, design and implementation of Smart Regional Policy in the Northern, Western and borders region of the Republic of Ireland in an area including 10 local authorities. This process is known as the Smart Places Region initiative."
"118","conferencePaper",2009,"Buccella, Agustina; Cechich, Alejandra","A semantic-based architecture for supporting geographic e-services",NA,"10.1145/1693042.1693049",NA
"119","conferencePaper",2016,"Buccoliero, Luca; Bellio, Elena","Marketing and Citizen Web Empowerment: An Index for Benchmarking Italian Municipalities' Web Strategies",NA,"10.1145/2910019.2910057","Citizens have new expectations based on involvement, collaboration and participation in urban governments' life and administration: therefore, the improvement of citizens' empowerment should be one of the main objective of any structured web presence of municipalities. This paper presents an updated assessment of Italian municipalities' web strategies based on their level of created ""citizen empowerment"". A revised version of the Citizens Web Empowerment Index (CWEI), designed to benchmark administrations' official web portals, is adopted. The analysis was made on a yearly basis on the web portals of the 104 Italian cities with over 60,000 inhabitants, in 2012, 2013 and 2014. Results still show relatively low levels of the indicator, despite some good practices spread around the country, which allow to believe that urban marketing strategies will be soon more oriented towards empowerment creation."
"120","conferencePaper",2018,"Budhwar, Aditya; Kuboi, Toshihiro; Dekhtyar, Alex; Khosmood, Foaad","Predicting the Vote Using Legislative Speech",NA,"10.1145/3209281.3209374","As most dedicated observers of voting bodies like the U.S. Supreme Court can attest, it is possible to guess vote outcomes based on statements made during deliberations or questioning by the voting members. We show this is also possible to do automatically using machine learning, potentially providing a powerful tool to ordinary citizens. Our working hypothesis is that verbal utterances made during the legislative process by elected representatives can indicate their intent on a future vote, and therefore can be used to automatically predict said vote to a significant degree. In this paper, we examine thousands of hours of legislative deliberations from the California state legislature's 2015-2016 session to form models of voting behavior for each legislator and use them to train classifiers and predict the votes that occur subsequent to the discussions. We can achieve average legislator vote prediction accuracies as high as 83%. For bill vote prediction, our model can achieve 76% accuracy with an F1 score of 0.83 using a balanced dataset."
"121","conferencePaper",2016,"Bunar, Charly; Isagah, Tupokigwe","Assessing Mobile Participation: A Case Study of iCitizen, Buycott and USHAHIDI",NA,"10.3233/978-1-61499-670-5-3","The ubiquity of mobile devices has led to the provisioning of mobile e-administration services in many countries and it possesses the potential to introduce new practices of e-participation specifically. Applying case study methodology, this paper identifies iCitizen, Buycott and USHAHIDI as practical examples for m-participation offers and compares them in regards to features, influence in the policy cycle, and usability. The lessons learnt highlight that m-participation should be a part of a wider strategy that includes offline and other media channels, that it utilises mobile features such as location-based services and Social Media integration to enhance efficacy of participation, and to make the offer focused on the user experience rather than a singular topic."
"122","conferencePaper",2007,"Burdon, Mark; Nieto, Juan Gonzalez; Christensen, Sharon; Dawson, Ed; Duncan, W. D.; Lane, Bill","Access Control in Federated Databases: How Legal Issues Shape Security",NA,"10.1007/978-3-540-74444-3","This paper will examine how legal considerations arising from the aggregation of data impact upon technical access control mechanisms. Research findings are based on a multi-disciplinary investigation of security issues regarding the aggregation of data in a governmental federated database system. The researchers conclude that the development of a federated architecture must consider technical security concerns within the context of legal risk management issues. As such, a holistic approach to the investigation of information security is required that incorporates the disciplines of information technology and law."
"123","conferencePaper",2018,"Callinan, Colin; Scott, Murray; Ojo, Adegboyega; Whelan, Eoin","How to Create Public Value Through Open Data Driven Co-Creation: A Survey of the Literature",NA,"10.1145/3209415.3209457","The drive for openness in government, with open data as a key component, has seen governments around the world devote a large amount of resources to publishing government collected and held data. Scarce resources are being devoted to this goal with the primary goals designated as economic growth and increased innovation. A somewhat overlooked aim is the creation of public value which can be deployed as an openness and trust enhancing apparatus. This preliminary work addresses this gap by aiming to develop the core knowledge of how public value can be co-created with open data. Through an extensive survey of the relevant literature, this research seeks to build an initial framework of public value as applied to co-created open data. Grounded in the structured literature review technique, the authors surveyed the pertinent literature to identify the primary factors that enable value co-creation from the citizens point of view. Furthermore, this research proposes an adapted collection of public values as they relate to open data."
"124","conferencePaper",2014,"Canares, Michael P.","Opening the Local: Full Disclosure Policy and Its Impact on Local Governments in the Philippines",NA,"10.1145/2691195.2691214","In 2011, the Philippine government required local government units (LGUs) to post financial and procurement--related information in LGU websites. This research investigates whether this initiative has affected both the providers of the information and its supposed audience -- the public, as represented by citizen groups. To answer the questions, the researchers made use of a case study approach by selecting three provinces as research sites which yielded two major findings. On the supply side, incentivising openness is a critical aspect in ensuring that local governments have the interest to disclose financial data. However, on the demand side, there is limited awareness on the part of the public, and more particularly the intermediaries (e.g. business groups, civil society organizations, research institutions), on the availability of data, and thus, its limited use. This paper argues that openness is not just about governments putting meaningful government data out into the public domain, but also about making the public meaningfully engage with governments. This requires policies that will require observance of open government data standards and a capacity building process of ensuring that the public, to whom the data is intended, are aware and able to use the data in ensuring more transparent and accountable governance."
"125","conferencePaper",2014,"Carneiro, Davide; Novais, Paulo","Making Justice More Accessible",NA,"10.1145/2691195.2691284","From the point of view of the Citizen, Justice is not always readily accessible. Either because it is a lengthy process, potentially expensive, sometimes unclear or simply scary, people will often avoid or withdraw from a judicial process, especially in those cases that involve relatively small amounts. This results in the giving up of a basic right, with the potential loss of rightful benefits. In this paper we briefly analyze the main aspects that impair access to Justice nowadays. We then move on to look at recent technological developments in the field of Online Dispute Resolution to argue that these can, in the near future, have a significant role in improving access to Justice. Specifically, we analyze the UMCourt Conflict Resolution Framework, developed by our research team, and address the different dimensions in which such tools contribute to make Justice more accessible, namely through better access to useful information, support in decision-making or more cost-effective processes."
"126","conferencePaper",2018,"Carroll, John M.; Beck, Jordan; Dhanorkar, Shipi; Binda, Jomara; Gupta, Srishti; Zhu, Haining","Strengthening Community Data: Towards Pervasive Participation",NA,"10.1145/3209281.3209312","Data, big data, and data analytics are contemporary touchstones for rational and technocratic thinking about human activity. Data also provide a new foundation and focus for community innovation, and new concrete possibilities for enhancing community activities, experiences, and civic participation. We present and discuss a series of community design scenarios envisioning how community data can be produced, gathered, analyzed, interpreted and used by community members to enhance community awareness and engagement, to provide new opportunities for learning and development among community members, and to increase the transparency, effectiveness and fairness of local government. Our argument is that community data can be seen as a vehicle not only for more pervasive participation in local communities but also for richer, better-grounded, and more effective participation."
"127","conferencePaper",2015,"Carter, Lemuria","Towards a ""Balanced"" Historical Assessment of E-government Research",NA,"10.3233/978-1-61499-570-8-209","This paper utilizes the Balanced Scorecard to provide a forward looking historical assessment of e-government research. The Balanced Scorecard provides an interesting and strategic lens through which to view e-government research. This paper identifies prominent e-government articles to highlight the financial, customer, internal process and organizational capacity elements of e-government research. This paper is not a traditional literature review; rather, it is a call for a more strategic approach to e-government research. As the field matures, the community should identify our mission and vision for e-government research and target our efforts accordingly."
"128","conferencePaper",2004,"Carter, Lemuria; Bélanger, France","Citizen Adoption of Electronic Government Initiatives",NA,"10.1109/hicss.2004.1265306","Electronic government, or e-government, increases the convenience and accessibility of government services and information to citizens. Despite the benefits of e-government - increased government accountability to citizens, greater public access to information, and a more efficient, cost-effective government - the success and acceptance of e-government initiatives, such as online voting and license renewal, are contingent upon citizens' willingness to adopt this innovation. In order to develop ""citizen-centered"" e-government services that provide citizens with accessible, relevant information and quality services that are more expedient than traditional ""brick and mortar"" transactions, government agencies must first understand the factors that influence citizen adoption of this innovation. This study integrates constructs from the technology acceptance model (TAM), diffusions of innovation theory (DOI) and Web trust model to form a parsimonious, yet comprehensive model of factors that influence citizen adoption of electronic government initiatives. The findings and implications of this study are discussed in the paper."
"129","conferencePaper",2018,"Carvalho, Joana; Soares, Delfina","Who Is Measuring What and How in EGOV Domain?",NA,"10.1007/978-3-319-98690-6_11","Governments around the world have accepted information and communication technology as a facilitator to reform, transform and modernize the governance activity - EGOV. Although EGOV is accepted to..."
"130","conferencePaper",2010,"Casal, Gabriel; Rivolta, Mercedes","A national strategy to combat cybercrime: a case of Argentina",NA,"10.1145/1930321.1930347",NA
"131","conferencePaper",2014,"Cestnik, Bojan; Kern, Alenka","Administrative and Digital Literacy: the Legend or Myth in e-Government",NA,"10.3233/978-1-61499-429-9-216","New literacies are often used to denote the abilities to swiftly use data, information and knowledge in the modern age. In this paper we re-examined the hypothesis that a citizen having higher digital and administrative literacy would more frequently and with a higher success rate use e-government services. We analysed the collected applications received to a tender conducted by a public housing institution for renting flats under favourable conditions to citizens. The concerned citizens were intentionally offered two possibilities for submitting their applications: in paper form by the ordinary mail or in electronic form via the internet. The electronic web form was designed to be simple and easy to access, use and navigate; submitting and completing the application for renting flats through the web was of the same, if not of the lesser, complexity than filling and sending the same application by the ordinary mail. Contrary to a popular belief that the electronic submission would be typically preferred by more digitally and administrative literate citizens, the results of our study indicate that the completeness of submitted applications by the ordinary mail was significantly better than the completeness of the applications submitted via the web form. There is an agreement that citizens' digital literacy has to reach a certain level in order to start successfully using the available e-government services. However, our results indicate that a high digital literacy might not be enough. In some cases it not only ceases to help, but might also degrade the overall performance and success of a citizen using e-government services."
"132","conferencePaper",2015,"Cestnik, Bojan; Kern, Alenka","Policy modelling and maintenance in social housing: motivating sustainability and managing change",NA,"10.3233/978-1-61499-570-8-80","Public policies are collections of principles that guide state government actions in a given domain. The aim of public policy used by the state Housing Fund for distributing social housing facilities in Slovenia is to ensure transparent and equally fair treatment of all beneficiaries. During the last decade the Fund has established a sustainable structure for policy models that consist of three parts: written requirements for applications, a detailed process description, and a comprehensive decision support model containing rules for ranking the applications according to their priority. In this paper we analyze the main causes of changes in the policy in the last decade and investigate how they are reflected in the underlying conceptual and decision support models. The results of our analysis indicate that the key critical success factor was to maintain a delicate balance between the sustainability of the models and changes in the policy. As a result, the state housing Fund was able to leverage the supply on the Slovenian housing market by efficiently conducting twelve consecutive tenders for offering apartments under favorable terms to citizens."
