"","pub_title.x","n"
"805","Informacijos Mokslai (Information Science)",1
"806","Informatica",1
"807","Informatica Economica",1
"808","Informatics",1
"809","Information & Software Technology",1
"810","Information and Learning Sciences",1
"811","Information and Management",1
"812","Information Fusion",1
"813","Information Research",1
"814","Information Technology & Libraries",1
"815","Information Technology and Libraries",1
"816","Information Technology and People",1
"817","Information Technology and Tourism",1
"818","Infosecurity Today",1
"819","Innovation",1
"820","Innovation-The European Journal of Social Science Research",1
"821","Innovative Infrastructure Solutions",1
"822","Intelligent Decision Technologies",1
"823","Inter-Asia Cultural Studies",1
"824","Interactions",1
"825","Interactive Technology and Smart Education",1
"826","International Arab Journal of Information Technology",1
"827","International Business Review",1
"828","International Data Privacy Law",1
"829","International Food and Agribusiness Management Review",1
"830","International Insolvency Review",1
"831","International Journal for Equity in Health",1
"832","International Journal for the Semiotics of Law-Revue Internationale De Semiotique Juridique",1
"833","International Journal of Advanced and Applied Sciences",1
"834","International Journal of Agricultural and Environmental Information Systems",1
"835","International Journal of Applied Earth Observation and Geoinformation",1
"836","International Journal of Applied Systemic Studies",1
"837","International Journal of Approximate Reasoning",1
"838","International Journal of Architectural Heritage",1
"839","International Journal of Artificial Intelligence and Machine Learning (IJAIML)",1
"840","International Journal of Asia Pacific Studies",1
"841","International Journal of Bank Marketing",1
"842","International Journal of Big Data Management",1
"843","International Journal of Bio-Inspired Computation",1
"844","International Journal of Business and Society",1
"845","International Journal of Business Performance Management",1
"846","International Journal of Business Process Integration and Management",1
"847","International Journal of Cases on Electronic Commerce",1
"848","International Journal of Communication Systems",1
"849","International Journal of Comparative and Applied Criminal Justice",1
"850","International Journal of Computational Intelligence Systems",1
"851","International Journal of Computer Science & Network Security",1
"852","International Journal of Continuing Engineering Education and Life-Long Learning",1
"853","International Journal of Critical Infrastructure Protection",1
"854","International Journal of Critical Infrastructures",1
"855","International Journal of Cyber Research and Education (IJCRE)",1
"856","International Journal of Data and Network Science",1
"857","International Journal of Data Warehousing and Mining (IJDWM)",1
"858","International Journal of Decision Support System Technology",1
"859","International Journal of Development Issues",1
"860","International Journal of Digital Accounting Research",1
"861","International Journal of Distributed Systems and Technologies",1
"862","International Journal of Electronic Security and Digital Forensics",1
"863","International Journal of Electronics",1
"864","International Journal of Electronics and Telecommunications",1
"865","International Journal of Emergency Services",1
"866","International Journal of Emerging Markets",1
"867","International Journal of Emerging Technologies in Learning",1
"868","International Journal of Energy Research",1
"869","International Journal of Engineering and Geosciences",1
"870","International Journal of Engineering Business Management",1
"871","International Journal of Enterprise Information Systems",1
"872","International Journal of Epidemiology",1
"873","International Journal of Future Generation Communication & Networking",1
"874","International Journal of Future Generation Communication and Networking",1
"875","International Journal of Fuzzy Systems",1
"876","International Journal of Geomate",1
"877","International Journal of Grid and Distributed Computing",1
"878","International Journal of Health Care Quality Assurance",1
"879","International Journal of Health Geographics",1
"880","International Journal of Health Services",1
"881","International Journal of Healthcare Technology & Management",1
"882","International Journal of Human Computer Studies",1
"883","International Journal of Hyperconnectivity and the Internet of Things (IJHIoT)",1
"884","International Journal of Indian Culture and Business Management",1
"885","International Journal of Information and Learning Technology",1
"886","International Journal of Information Quality",1
"887","International Journal of Information Systems and Project Management",1
"888","International Journal of Information Technology and Web Engineering",1
"889","International Journal of Innovative Technologies in Economy",1
"890","International Journal of Intelligent Computing and Cybernetics",1
"891","International Journal of Interactive Multimedia and Artificial Intelligence",1
"892","International Journal of Internet Technology and Secured Transactions",1
"893","International Journal of Internet, Broadcasting and Communication",1
"894","International Journal of Knowledge and Learning",1
"895","International Journal of Law and Information Technology",1
"896","International Journal of Law in Context",1
"897","International Journal of Legal Information",1
"898","International Journal of Life Cycle Assessment",1
"899","International Journal of Management",1
"900","International Journal of Managing Public Sector Information and Communication Technologies",1
"901","International Journal of Mental Health Systems",1
"902","International Journal of Metadata, Semantics and Ontologies",1
"903","International Journal of Mobile Human Computer Interaction",1
"904","International Journal of Modeling Simulation and Scientific Computing",1
"905","International Journal of Multicultural and Multireligious Understanding",1
"906","International Journal of Network Management",1
"907","International Journal of Online Engineering",1
"908","International Journal of Online Marketing",1
"909","International Journal of Operations & Production Management",1
"910","International Journal of Organizational Leadership",1
"911","International Journal of Pervasive Computing and Communications",1
"912","International Journal of Press/Politics",1
"913","International Journal of Productivity and Performance Management",1
"914","International Journal of Progressive Sciences and Technologies",1
"915","International Journal of Public Law and Policy",1
"916","International Journal of Public Opinion Research",1
"917","International Journal of Public Policy",1
"918","International Journal of Qualitative Research in Services",1
"919","International Journal of Quality & Reliability Management",1
"920","International Journal of Research in Business and Social Science",1
"921","International Journal of Security and Its Applications",1
"922","International Journal of Service Industry Management",1
"923","International Journal of Services Technology and Management",1
"924","International Journal of Smart Security Technologies (IJSST)",1
"925","International Journal of Social Economics",1
"926","International Journal of Software Engineering and Knowledge Engineering",1
"927","International Journal of Spatial Data Infrastructures Research",1
"928","International Journal of Strategic Communication",1
"929","International Journal of System Assurance Engineering and Management",1
"930","International Journal of System Dynamics Applications",1
"931","International Journal of Teaching and Case Studies",1
"932","International Journal of Technology and Human Interaction (IJTHI)",1
"933","International Journal of Technology Enhanced Learning",1
"934","International Journal of Technology Management",1
"935","International Journal of Technology, Policy and Management",1
"936","International Journal of Tourism Cities",1
"937","International Journal of Urban and Regional Research",1
"938","International Journal of Urban Sciences",1
"939","International Journal of Web Services Research (IJWSR)",1
"940","International Journal on Advanced Science, Engineering, and Information Technology",1
"941","International Migration Review",1
"942","International Nursing Review",1
"943","International Planning Studies",1
"944","International Review",1
"945","International Review of Law and Economics",1
"946","International Review of Sociology",1
"947","International Sociology",1
"948","International Spectator",1
"949","International Transaction Journal of Engineering Management & Applied Sciences & Technologies",1
"950","International Transaction Journal of Engineering, Management, & Applied Sciences & Technologies",1
"951","Internet Policy Review",1
"952","Internet Research: Electronic Networking Applications and Policy",1
"953","Inzinerine Ekonomika-Engineering Economics",1
"954","Irish Journal of Sociology",1
"955","Island Studies Journal",1
"956","Issues In Information Systems",1
"957","It Professional",1
"958","Italian Political Science Review-Rivista Italiana Di Scienza Politica",1
"959","JCIC : Jurnal CIC Lembaga Riset dan Konsultan Sosial",1
"960","Jcms-Journal of Common Market Studies",1
"961","JeDEM-eJournal of eDemocracy and Open Government",1
"962","Jmir Mental Health",1
"963","Journal for Cultural Research",1
"964","Journal of Accounting and Organizational Change",1
"965","Journal of Accounting and Public Policy",1
"966","Journal of Accounting Auditing and Business",1
"967","Journal of Accounting in Emerging Economies",1
"968","Journal of Advances in Management Research",1
"969","Journal of Aging & Social Policy",1
"970","Journal of Aging Studies",1
"971","Journal of Agrarian Change",1
"972","Journal of Applied Communication Research",1
"973","Journal of Applied Economics",1
"974","Journal of Applied Security Research",1
"975","Journal of Archival Organization",1
"976","Journal of Asian and African Studies",1
"977","Journal of Asian Economics",1
"978","Journal of Behavioral Public Administration",1
"979","Journal of Big Data",1
"980","Journal of Biomedical Informatics",1
"981","Journal of British Cinema and Television",1
"982","Journal of Business & Industrial Marketing",1
"983","Journal of Chinese Political Science",1
"984","Journal of Coastal Research",1
"985","Journal of Communication Management",1
"986","Journal of Competitiveness",1
"987","Journal of Computational Methods in Sciences and Engineering",1
"988","Journal of Computer Science",1
"989","Journal of Computer Science, Information Technology and Telecommunication Engineering",1
"990","Journal of Conflict Resolution",1
"991","Journal of Construction Engineering and Management",1
"992","Journal of Contemporary African Studies",1
"993","Journal of Contemporary Issues in Business and Government",1
"994","Journal of Creative Communications",1
"995","Journal of Cross-Cultural Gerontology",1
"996","Journal of Data and Information Science",1
"997","Journal of Decision Systems",1
"998","Journal of Defense Modeling and Simulation-Applications Methodology Technology",1
"999","Journal of Developing Societies",1
"1000","Journal of Development Policy and Practice",1
"1001","Journal of Digital Information Management",1
"1002","Journal of E-Goverment",1
"1003","Journal of Eastern African Studies",1
"1004","Journal of Economic and Administrative Sciences",1
"1005","Journal of Economic Perspectives",1
"1006","Journal of Economic Policy Reform",1
"1007","Journal of Economic Studies",1
"1008","Journal of Elections Public Opinion and Parties",1
"1009","Journal of Engineering Design and Technology",1
"1010","Journal of Entrepreneurship and Public Policy",1
"1011","Journal of Entrepreneurship in Emerging Economies",1
"1012","Journal of Environmental Economics and Management",1
"1013","Journal of Environmental Management",1
"1014","Journal of Environmental Policy & Planning",1
"1015","Journal of European Public Policy",1
"1016","Journal of Exclusion Studies",1
"1017","Journal of Financial Regulation and Compliance",1
"1018","Journal of Financial Reporting and Accounting",1
"1019","Journal of Fish and Wildlife Management",1
"1020","Journal of Gerontological Social Work",1
"1021","Journal of Global Security Studies",1
"1022","Journal of Government and Civil Society",1
"1023","Journal of Grid Computing",1
"1024","Journal of Hospital Librarianship",1
"1025","Journal of Hospitality and Tourism Technology",1
"1026","Journal of Industrial Engineering and Management",1
"1027","Journal of Information and Telecommunication",1
"1028","Journal of Information Science and Engineering",1
"1029","Journal of Information Technology Cases and Applications",1
"1030","Journal of Information Technology Management",1
"1031","Journal of Information Technology Teaching Cases",1
"1032","Journal of Informetrics",1
"1033","Journal of Innovation Economics & Management",1
"1034","Journal of Intelligent Information Systems",1
"1035","Journal of Intelligent Systems",1
"1036","Journal of International Economics",1
"1037","Journal of Internet Commerce",1
"1038","Journal of Interpersonal Violence",1
"1039","Journal of Investing",1
"1040","Journal of Knowledge Management",1
"1041","Journal of Korea Trade",1
"1042","Journal of Language and Politics",1
"1043","Journal of Librarianship & Information Science",1
"1044","Journal of Library Metadata",1
"1045","Journal of Macroeconomics",1
"1046","Journal of Management Analytics",1
"1047","Journal of Management in Engineering",1
"1048","Journal of Marine Science and Engineering",1
"1049","Journal of Money Laundering Control",1
"1050","Journal of Multi-Criteria Decision Analysis",1
"1051","Journal of Nonprofit & Public Sector Marketing",1
"1052","Journal of Official Statistics",1
"1053","Journal of Open Innovation: Technology, Market, and Complexity",1
"1054","Journal of Operations Management",1
"1055","Journal of Organizational and End User Computing (JOEUC)",1
"1056","Journal of Parallel and Distributed Computing",1
"1057","Journal of Place Management and Development",1
"1058","Journal of Political Marketing",1
"1059","Journal of Politics",1
"1060","Journal of Property Planning and Environmental Law",1
"1061","Journal of Public Economics",1
"1062","Journal of Public Policy & Marketing",1
"1063","Journal of Public Relations Research",1
"1064","Journal of Purchasing and Supply Management",1
"1065","Journal of Rural Studies",1
"1066","Journal of Social Work",1
"1067","Journal of Southeast Asian Economies",1
"1068","Journal of Spatial Science",1
"1069","Journal of Statistics & Management Systems",1
"1070","Journal of Systems and Information Technology",1
"1071","Journal of the American Planning Association",1
"1072","Journal of the American Water Resources Association",1
"1073","Journal of the Australian Library & Information Association",1
"1074","Journal of the Canadian Health Libraries Association (JCHLA)",1
"1075","Journal of the Chinese Institute of Engineers",1
"1076","Journal of the Chinese Medical Association",1
"1077","Journal of the Geographical Institute Jovan Cvijic Sasa",1
"1078","Journal of the Operational Research Society",1
"1079","Journal of Urban and Regional Analysis",1
"1080","Journal of Urban Management",1
"1081","Journal of Web Semantics",1
"1082","Journalism",1
"1083","Journalism & Mass Communication Quarterly",1
"1084","Jurnal Administrasi Publik : Public Administration Journal",1
"1085","Jurnal Komunikasi-Malaysian Journal of Communication",1
"1086","Jurnal Studi Sosial dan Politik",1
"1087","Knowledge and Information Systems",1
"1088","Knowledge Organization",1
"1089","Korea Observer",1
"1090","Korean Journal of Physiology & Pharmacology",1
"1091","Ksce Journal of Civil Engineering",1
"1092","Ksii Transactions on Internet and Information Systems",1
"1093","Lancet Digital Health",1
"1094","Latin American Policy",1
"1095","Law and Development Review",1
"1096","Law Culture and the Humanities",1
"1097","Learning Organization",1
"1098","LEEE Transactions on Dependable and Secure Computing",1
"1099","Legal Information Management",1
"1100","Lexonomica",1
"1101","Library & Information Science Research (07408188)",1
"1102","Library and Information Science Research",1
"1103","Library Management",1
"1104","Libri-International Journal of Libraries and Information Studies",1
"1105","Libri - International Journal of Libraries & Information Services",1
"1106","Libri: International Journal of Libraries & Information Services",1
"1107","LibriLibri: International Journal of Libraries & Information Services",1
"1108","Logic Journal of the Igpl",1
"1109","Management Decision",1
"1110","Managing Service Quality: An International Journal",1
"1111","Marine Technology Society Journal",1
"1112","Marketing and Management of Innovations",1
"1113","Maternal and Child Health Journal",1
"1114","Measuring Business Excellence",1
"1115","Meditari Accountancy Research",1
"1116","Mezinarodni Vztahy-Czech Journal of International Relations",1
"1117","Microprocessors and Microsystems",1
"1118","Middle East Journal of Culture and Communication",1
"1119","Minerva",1
"1120","MIS Quarterly",1
"1121","Mis Quarterly Executive",1
"1122","MIS Quarterly: Management Information Systems",1
"1123","MJIR | Malaysian Journal of International Relations",1
"1124","Mobilities",1
"1125","Modern Law Review",1
"1126","Montenegrin Journal of Economics",1
"1127","Mousaion",1
"1128","Multimedia Systems",1
"1129","Natural Hazards Review",1
"1130","Nature Communications",1
"1131","Netnomics",1
"1132","Network Security",1
"1133","New Global Studies",1
"1134","New Library World",1
"1135","New Political Economy",1
"1136","Nordicom Review",1
"1137","Open Mathematics",1
"1138","OPERA",1
"1139","Organization Studies",1
"1140","Oxford Journal of Legal Studies",1
"1141","Pacific Asia Journal of the Association for Information Systems",1
"1142","Pacific Focus",1
"1143","Palgrave Communications",1
"1144","Patient Education and Counseling",1
"1145","Pattern Recognition",1
"1146","Peer-to-Peer Networking and Applications",1
"1147","PeerJ Computer Science",1
"1148","Perspectivas em Ciência da Informação",1
"1149","Perspectives on Public Management and Governance",1
"1150","Pertanika Journal of Social Sciences and Humanities",1
"1151","Pfg-Journal of Photogrammetry Remote Sensing and Geoinformation Science",1
"1152","Philosophical Transactions of the Royal Society a-Mathematical Physical and Engineering Sciences",1
"1153","Philosophy & Technology",1
"1154","Planning Practice and Research",1
"1155","Policing-an International Journal of Police Strategies & Management",1
"1156","Politica Y Sociedad",1
"1157","Political Behavior",1
"1158","Political Behaviour",1
"1159","Political Psychology",1
"1160","Political Quarterly",1
"1161","Political Science Research and Methods",1
"1162","Political Studies",1
"1163","Political Studies Review",1
"1164","Politics and Governance",1
"1165","Popular Communication",1
"1166","Post-Soviet Affairs",1
"1167","Postmodern Openings",1
"1168","Prague Economic Papers",1
"1169","Pravni Vjesnik",1
"1170","PREKOGRANIČNA JAVNA UPRAVA: PERSPEKTIVE UVOĐENJA ""BLOCKCHAIN"" NADLEŽNOSTI.",1
"1171","Preservation, Digital Technology & Culture",1
"1172","Proceedings of the Association for Information Science and Technology",1
"1173","Proceedings of the European Conference on Knowledge Management",1
"1174","Proceedings of the Institution of Civil Engineers-Municipal Engineer",1
"1175","Proceedings of the Institution of Civil Engineers-Transport",1
"1176","Proceedings of the Royal Society a-Mathematical Physical and Engineering Sciences",1
"1177","Production and Operations Management",1
"1178","Production Planning & Control",1
"1179","Profesional de la Información",1
"1180","Profesional De La Información",1
"1181","Professional Geographer",1
"1182","Property Management",1
"1183","PS: Political Science and Politics",1
"1184","Psychological Services",1
"1185","Pubic Performance & Management Review",1
"1186","Public Administration & Development",1
"1187","Public administration aspects",1
"1188","Public Finance Quarterly-Hungary",1
"1189","Public Integrity",1
"1190","Public Personnel Management",1
"1191","Public Services Quarterly",1
"1192","Public Understanding of Science",1
"1193","Public Works Management & Policy",1
"1194","Punishment & Society-International Journal of Penology",1
"1195","Quantum Information Processing",1
"1196","Rae-Revista De Administracao De Empresas",1
"1197","RAIRO - Theoretical Informatics and Applications",1
"1198","Reference Librarian",1
"1199","Rege-Revista De Gestao",1
"1200","Regional Environmental Change",1
"1201","Representation",1
"1202","Requirements Engineering",1
"1203","Research in Globalization",1
"1204","Research in International Business and Finance",1
"1205","Research in Learning Technology",1
"1206","Research Journal of Applied Sciences, Engineering and Technology",1
"1207","Resources-Basel",1
"1208","Resources, Conservation and Recycling",1
"1209","Review of Economic Perspectives",1
"1210","Revista Contabilidade, Gestão e Governança",1
"1211","Revista De Gestao E Secretariado",1
"1212","Revista de Gestão e Secretariado",1
"1213","Revista Ibero-Americana De Ciencia Da Informacao",1
"1214","Revista Internacional De Sociologia",1
"1215","Revista Tecnologia E Sociedade",1
"1216","Risk Hazards & Crisis in Public Policy",1
"1217","Risk Management-Journal of Risk Crisis and Disaster",1
"1218","Romanian Journal of Information Technology and Automatic Control-Revista Romana De Informatica Si Automatica",1
"1219","Rossiiskii Zhurnal Menedzhmenta-Russian Management Journal",1
"1220","Round Table",1
"1221","RSF Conference Series: Business, Management and Social Sciences",1
"1222","Sa Journal of Human Resource Management",1
"1223","Sadhana-Academy Proceedings in Engineering Sciences",1
"1224","Scalable Computing-Practice and Experience",1
"1225","Scandinavian Political Studies",1
"1226","Science of Computer Programming",1
"1227","Science Technology & Human Values",1
"1228","Scientific World Journal",1
"1229","Security and Communication Networks",1
"1230","Security Dialogue",1
"1231","Serials Review",1
"1232","Simulation & Gaming",1
"1233","Small Business Economics",1
"1234","Smart and Sustainable Built Environment",1
"1235","Social Networks",1
"1236","Social Science Information Sur Les Sciences Sociales",1
"1237","Social Science Journal",1
"1238","Social Sciences",1
"1239","Social Studies of Science",1
"1240","Society & Natural Resources",1
"1241","Sociologia Nauki I Tehnologij-Sociology of Science & Technology",1
"1242","Sociologia Y Tecnociencia",1
"1243","Sociological Research",1
"1244","Soft Computing",1
"1245","Software and Systems Modeling",1
"1246","South African Journal of International Affairs-Sajia",1
"1247","South African Journal of Libraries & Information Science",1
"1248","South African Journal of Libraries and Information Science",1
"1249","Space and Culture",1
"1250","Space Policy",1
"1251","SpringerPlus",1
"1252","State and Local Government Review",1
"1253","Strategic Change",1
"1254","Strategic Change-Briefings in Entrepreneurial Finance",1
"1255","Strategic Outsourcing",1
"1256","Structure and Infrastructure Engineering",1
"1257","Sudosteuropa",1
"1258","Supply Chain Management-an International Journal",1
"1259","Survey Review",1
"1260","Sustainability Science",1
"1261","Sustainable Development",1
"1262","Sustainable Energy Grids & Networks",1
"1263","Sustainable Energy Technologies and Assessments",1
"1264","Symmetry-Basel",1
"1265","Systemic Practice & Action Research",1
"1266","Systems",1
"1267","Td-the Journal for Transdisciplinary Research in Southern Africa",1
"1268","TD: The Journal for Transdisciplinary Research in Southern Africa",1
"1269","Teaching Public Administration",1
"1270","Technological and Economic Development of Economy",1
"1271","Technovation",1
"1272","Techtrends",1
"1273","Tehnicki Vjesnik-Technical Gazette",1
"1274","Tehnički vjesnik - Technical Gazette",1
"1275","Telecommunication Computing Electronics and Control (TELKOMNIKA)",1
"1276","Telecommunication Computing Electronics and Control (℡KOMNIKA)",1
"1277","Telemedicine and E-Health",1
"1278","TEM Journal - Technology Education Management Informatics",1
"1279","Tema-Journal of Land Use Mobility and Environment",1
"1280","Territory Politics Governance",1
"1281","The Bottom Line: Managing Library Finances",1
"1282","The Canadian Geographer",1
"1283","The EDI Law Review",1
"1284","The Electronic Journal of Information Systems in Developing Countries",1
"1285","The European Journal of Development Research",1
"1286","The Information Society",1
"1287","The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1
"1288","The International Information & Library Review",1
"1289","The Journal for Transdisciplinary Research in Southern Africa",1
"1290","The Journal of Comparative Asian Development",1
"1291","The Journal of Strategic Information Systems",1
"1292","The Lancet",1
"1293","The Political Quarterly",1
"1294","The University of New South Wales Law Journal",1
"1295","Theory and Society",1
"1296","Thesis Eleven",1
"1297","Third World Quarterly",1
"1298","Tourism Review",1
"1299","Transactions in Gis",1
"1300","Transactions on Emerging Telecommunications Technologies",1
"1301","Transport Policy",1
"1302","Transport Reviews",1
"1303","Transportation in Developing Economies",1
"1304","Transportation Journal",1
"1305","Transportation Planning and Technology",1
"1306","Transportation Research Part F-Traffic Psychology and Behaviour",1
"1307","Turkish Studies",1
"1308","Ukrainian Journal of Ecology",1
"1309","UNIO EU Law Journal",1
"1310","Urban Affairs Review",1
"1311","Urban Research & Practice",1
"1312","Utilities Policy",1
"1313","Utrecht Law Review",1
"1314","Vaccine",1
"1315","Verwaltung und Management",1
"1316","Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal",1
"1317","Vestnik Permskogo Universiteta-Juridicheskie Nauki",1
"1318","Vine Journal of Information and Knowledge Management Systems",1
"1319","VINE Journal of Information and Knowledge Management Systems",1
"1320","Voprosy Gosudarstvennogo I Munitsipalnogo Upravleniya-Public Administration Issues",1
"1321","Water and Environment Journal",1
"1322","Westminster Papers in Communication & Culture",1
"1323","Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery",1
"1324","Wireless Communications and Mobile Computing",1
"1325","Wireless Networks",1
"1326","WIREs: Data Mining & Knowledge Discovery",1
"1327","World Bank Economic Review",1
"1328","World Bank Research Observer",1
"1329","World Economy and International Relations",1
"1330","World Journal of Science Technology and Sustainable Development",1
"1331","World Journal of Surgery",1
"1332","World Patent Information",1
"1333","World Trade Review",1
